ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-11-28 17:18:07 111m





Relative time;Average1;Average2
s;V;V
-0.0001879;-0.0094559855;-0.0016142192
-0.00018788;-0.00806424;-0.0016862061
-0.00018786;-0.009800494;-0.0016675238
-0.00018784;-0.0084738794;-0.0017132868
-0.00018782;-0.008684698;-0.0014750447
-0.0001878;-0.0095896754;-0.0016999178
-0.00018778;-0.0088372415;-0.0016884342
-0.00018776;-0.0091423286;-0.0015547444
-0.00018774;-0.0080710959;-0.0015986221
-0.00018772;-0.0094234201;-0.0014772728
-0.0001877;-0.0093788568;-0.0015225217
-0.00018768;-0.0093891406;-0.0016760936
-0.00018766;-0.0099016183;-0.0015166942
-0.00018764;-0.010071302;-0.0016178186
-0.00018762;-0.0086127111;-0.0015794256
-0.0001876;-0.009675374;-0.0015430894
-0.00018758;-0.0088458114;-0.0015909092
-0.00018756;-0.0091560404;-0.0016829495
-0.00018754;-0.0086692722;-0.0015298918
-0.00018752;-0.0076014674;-0.001515323
-0.0001875;-0.0082013578;-0.001580454
-0.00018748;-0.0086041413;-0.0016034212
-0.00018746;-0.0093102979;-0.0015374332
-0.00018744;-0.0080333885;-0.0016541548
-0.00018742;-0.0092023176;-0.0014628754
-0.0001874;-0.008928082;-0.0014663034
-0.00018738;-0.010595777;-0.0016346155
-0.00018736;-0.0091851779;-0.001615419
-0.00018734;-0.0077145896;-0.0014854999
-0.00018732;-0.0085218706;-0.0015022968
-0.0001873;-0.0088286716;-0.0015609147
-0.00018728;-0.0084224602;-0.001600336
-0.00018726;-0.0087755385;-0.0016058207
-0.00018724;-0.0089177982;-0.0015998218
-0.00018722;-0.0084447418;-0.0016291308
-0.0001872;-0.0083761829;-0.0015346909
-0.00018718;-0.0092743045;-0.0016015358
-0.00018716;-0.0090377763;-0.001580454
-0.00018714;-0.0097884962;-0.0015861101
-0.00018712;-0.0087001237;-0.0015979365
-0.0001871;-0.0098896205;-0.0015307488
-0.00018708;-0.0090823396;-0.0017684767
-0.00018706;-0.0082647747;-0.0016330729
-0.00018704;-0.0096359526;-0.0016334157
-0.00018702;-0.0080762378;-0.0017060881
-0.000187;-0.0088475253;-0.00162536
-0.00018698;-0.0087875363;-0.0016174758
-0.00018696;-0.009738791;-0.0016152476
-0.00018694;-0.0097405049;-0.0015816537
-0.00018692;-0.0098964764;-0.0016322159
-0.0001869;-0.0092760184;-0.001587824
-0.00018688;-0.009677088;-0.0016776362
-0.00018686;-0.0093240097;-0.0016214179
-0.00018684;-0.0085887155;-0.0015917662
-0.00018682;-0.0097782123;-0.0017011176
-0.0001868;-0.0083367616;-0.001612848
-0.00018678;-0.010206705;-0.0014945839
-0.00018676;-0.0091080491;-0.0014512204
-0.00018674;-0.0095776776;-0.0016742082
-0.00018672;-0.0086727002;-0.0016282738
-0.0001867;-0.0090360623;-0.0015129234
-0.00018668;-0.0088355275;-0.0016940903
-0.00018666;-0.0084755933;-0.0014978405
-0.00018664;-0.0089400798;-0.0016371864
-0.00018662;-0.0087772525;-0.0015689703
-0.0001866;-0.0085989993;-0.0015809681
-0.00018658;-0.007875703;-0.0015938229
-0.00018656;-0.009053202;-0.0014774442
-0.00018654;-0.0098210616;-0.0015391472
-0.00018652;-0.0095845335;-0.001652098
-0.0001865;-0.0086641303;-0.0016251886
-0.00018648;-0.0082099276;-0.0016694091
-0.00018646;-0.0096308107;-0.0015588579
-0.00018644;-0.010535788;-0.0015556014
-0.00018642;-0.0084224602;-0.001416941
-0.0001864;-0.0095965313;-0.0016363295
-0.00018638;-0.0092040316;-0.0015807967
-0.00018636;-0.0082133556;-0.0016013644
-0.00018634;-0.01004045;-0.0015237215
-0.00018632;-0.0086641303;-0.0015741123
-0.0001863;-0.0092126015;-0.0016034212
-0.00018628;-0.0090206365;-0.0015398328
-0.00018626;-0.0076768822;-0.0016341013
-0.00018624;-0.0096873718;-0.0014404224
-0.00018622;-0.0077968603;-0.0016027356
-0.0001862;-0.0089212261;-0.0017441383
-0.00018618;-0.0079579737;-0.001529549
-0.00018616;-0.0092451669;-0.0016101057
-0.00018614;-0.0090686278;-0.0014810436
-0.00018612;-0.0095571099;-0.0014663034
-0.0001861;-0.0092725905;-0.001637015
-0.00018608;-0.0090394902;-0.0016471275
-0.00018606;-0.0091457565;-0.0016747224
-0.00018604;-0.0085989993;-0.0015448033
-0.00018602;-0.0091303308;-0.0014484781
-0.000186;-0.0087224054;-0.0015958797
-0.00018598;-0.0082407791;-0.0016884342
-0.00018596;-0.0084104624;-0.0015605719
-0.00018594;-0.0084704514;-0.0015405184
-0.00018592;-0.0090103527;-0.0015352051
-0.0001859;-0.0082904843;-0.0015931373
-0.00018588;-0.0082939123;-0.0016334157
-0.00018586;-0.0089040864;-0.0016848349
-0.00018584;-0.0087583988;-0.0015530304
-0.00018582;-0.0091663242;-0.0017019746
-0.0001858;-0.0080265326;-0.0014959551
-0.00018578;-0.0079219803;-0.0015497738
-0.00018576;-0.0089023725;-0.0016664954
-0.00018574;-0.0087138355;-0.001615419
-0.00018572;-0.0077145896;-0.001649527
-0.0001857;-0.0083796109;-0.0016661526
-0.00018568;-0.0086367067;-0.0014762444
-0.00018566;-0.0086109972;-0.0014748733
-0.00018564;-0.010067874;-0.0016508982
-0.00018562;-0.0095382562;-0.0017295696
-0.0001856;-0.0073460855;-0.0015468601
-0.00018558;-0.008494447;-0.0016712945
-0.00018556;-0.0095399702;-0.001591252
-0.00018554;-0.0090823396;-0.0015616003
-0.00018552;-0.0093394354;-0.0015319485
-0.0001855;-0.0087721106;-0.0015290348
-0.00018548;-0.0087789664;-0.0014868711
-0.00018546;-0.0078842729;-0.0015034966
-0.00018544;-0.0091474705;-0.0017033458
-0.00018542;-0.0088903746;-0.0017844167
-0.0001854;-0.0079785413;-0.0016814069
-0.00018538;-0.0095331143;-0.0014798438
-0.00018536;-0.0085715758;-0.0016342727
-0.00018534;-0.008249349;-0.0015149802
-0.00018532;-0.0091097631;-0.0017333403
-0.0001853;-0.010090155;-0.0016683807
-0.00018528;-0.0085767177;-0.0015475457
-0.00018526;-0.0081996438;-0.0016311875
-0.00018524;-0.0093531472;-0.0015408612
-0.00018522;-0.0088989445;-0.0016555259
-0.0001852;-0.0093737149;-0.0016531264
-0.00018518;-0.007879131;-0.0015100097
-0.00018516;-0.0084241742;-0.0015214933
-0.00018514;-0.0083796109;-0.0015998218
-0.00018512;-0.0097507888;-0.0015723983
-0.0001851;-0.0093908546;-0.0016203895
-0.00018508;-0.0095965313;-0.0015843961
-0.00018506;-0.008746401;-0.0016363295
-0.00018504;-0.0092520228;-0.0016358153
-0.00018502;-0.0092126015;-0.0017587071
-0.000185;-0.0098330594;-0.0016190183
-0.00018498;-0.0083813249;-0.0015747978
-0.00018496;-0.0085013029;-0.0016450707
-0.00018494;-0.0083419035;-0.0015358907
-0.00018492;-0.0080796657;-0.0016699233
-0.0001849;-0.0088492393;-0.0016944331
-0.00018488;-0.0087875363;-0.0017333403
-0.00018486;-0.0093377214;-0.0016212465
-0.00018484;-0.009305156;-0.0015190937
-0.00018482;-0.0098262036;-0.0015972509
-0.0001848;-0.0094217061;-0.0015831963
-0.00018478;-0.010162142;-0.0014563624
-0.00018476;-0.010035308;-0.0015208077
-0.00018474;-0.0096033871;-0.0016834637
-0.00018472;-0.0092091735;-0.0016368436
-0.0001847;-0.0079733994;-0.001577026
-0.00018468;-0.0078379956;-0.001653812
-0.00018466;-0.0096170989;-0.0015220075
-0.00018464;-0.0087618267;-0.0016846635
-0.00018462;-0.0075449063;-0.0017859592
-0.0001846;-0.0093428633;-0.001487728
-0.00018458;-0.0089983549;-0.0016349583
-0.00018456;-0.0091886058;-0.0015969081
-0.00018454;-0.0098776227;-0.0016255314
-0.00018452;-0.0087378311;-0.0015835391
-0.0001845;-0.0095588239;-0.0015076101
-0.00018448;-0.0089212261;-0.0014321953
-0.00018446;-0.0078208559;-0.0016017072
-0.00018444;-0.0085390103;-0.0016094201
-0.00018442;-0.0070375705;-0.0017544222
-0.0001844;-0.0096445225;-0.0014692171
