ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-11-28 17:09:50 342m





Relative time;Average1;Average2
s;V;V
-0.0001879;-0.0084696604;-0.0016061899
-0.00018788;-0.0083971461;-0.0017217292
-0.00018786;-0.0075849869;-0.0016436556
-0.00018784;-0.0079354723;-0.0015796014
-0.00018782;-0.0085445917;-0.0016337453
-0.0001878;-0.0085893088;-0.0016460727
-0.00018778;-0.009865559;-0.0015891491
-0.00018776;-0.0087053316;-0.0017947269
-0.00018774;-0.0089736341;-0.0018336428
-0.00018772;-0.0085929345;-0.0015764591
-0.0001877;-0.0071559445;-0.001612837
-0.00018768;-0.0083729747;-0.0015901159
-0.00018766;-0.0080285322;-0.0017265635
-0.00018764;-0.008557886;-0.0016812421
-0.00018762;-0.0079801894;-0.0017513392
-0.0001876;-0.0080865436;-0.0016507862
-0.00018758;-0.0092105139;-0.0016267356
-0.00018756;-0.008636443;-0.0015991802
-0.00018754;-0.0083367176;-0.0015982133
-0.00018752;-0.0099006075;-0.0016584001
-0.0001875;-0.0083028777;-0.0016274607
-0.00018748;-0.0087935572;-0.0016924818
-0.00018746;-0.0091718397;-0.0016701233
-0.00018744;-0.0085180032;-0.001653445
-0.00018742;-0.0097882105;-0.0017853
-0.0001874;-0.0073227272;-0.0017081932
-0.00018738;-0.00887574;-0.0016453476
-0.00018736;-0.0077771496;-0.0017153238
-0.00018734;-0.0093047824;-0.001696591
-0.00018732;-0.0079366809;-0.0016778581
-0.0001873;-0.0079294294;-0.001671211
-0.00018728;-0.0081663092;-0.001677979
-0.00018726;-0.0093954252;-0.0016338662
-0.00018724;-0.0077735239;-0.0017190704
-0.00018722;-0.0090243941;-0.0016704858
-0.0001872;-0.0079862323;-0.0016916358
-0.00018718;-0.0077203468;-0.0017037215
-0.00018716;-0.0084454889;-0.0016355582
-0.00018714;-0.0088008086;-0.0017901343
-0.00018712;-0.0085723888;-0.0016961075
-0.0001871;-0.0095005708;-0.0017168949
-0.00018708;-0.0089929713;-0.0016080028
-0.00018706;-0.0085615117;-0.0015423774
-0.00018704;-0.0081312607;-0.0016912733
-0.00018702;-0.0084672432;-0.0016313282
-0.000187;-0.0084092318;-0.0017133901
-0.00018698;-0.0087150001;-0.0016632344
-0.00018696;-0.0078617495;-0.0017483178
-0.00018694;-0.0089567142;-0.0016488524
-0.00018692;-0.008110715;-0.0016245602
-0.0001869;-0.0087415887;-0.0015847982
-0.00018688;-0.0089156228;-0.0016812421
-0.00018686;-0.0084092318;-0.0016860764
-0.00018684;-0.0071184788;-0.0016183965
-0.00018682;-0.0092286425;-0.0016447433
-0.0001868;-0.0089929713;-0.0016176713
