ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-11-28 17:22:15 781m





Relative time;Average1;Average2
s;V;V
-0.0001879;-0.0081664749;-0.0018087172
-0.00018788;-0.0089371909;-0.0017154269
-0.00018786;-0.0077681419;-0.001636409
-0.00018784;-0.0092706488;-0.0016580773
-0.00018782;-0.0078239345;-0.0017717384
-0.0001878;-0.007421709;-0.0017081609
-0.00018778;-0.0076656393;-0.0016741663
-0.00018776;-0.0090370985;-0.0016761126
-0.00018774;-0.0095872392;-0.0016465295
-0.00018772;-0.0090915935;-0.0017021924
-0.0001877;-0.0080250473;-0.0017469562
-0.00018768;-0.0070973336;-0.0017091989
-0.00018766;-0.0080068822;-0.0017251581
-0.00018764;-0.0091538736;-0.001808847
-0.00018762;-0.0078732396;-0.0017248986
-0.0001876;-0.0088463658;-0.0016717011
-0.00018758;-0.0080224523;-0.0016733878
-0.00018756;-0.0091032711;-0.0017691434
-0.00018754;-0.007799282;-0.0018298665
-0.00018752;-0.0091123536;-0.0016236935
-0.0001875;-0.0088463658;-0.001609421
-0.00018748;-0.0087127231;-0.0016129242
-0.00018746;-0.0086997481;-0.0017404687
-0.00018744;-0.0081184674;-0.0016428965
-0.00018742;-0.0082988201;-0.0018454365
-0.0001874;-0.0089345959;-0.0016508113
-0.00018738;-0.0084454378;-0.0017225631
-0.00018736;-0.0087295906;-0.00160994
-0.00018734;-0.0073230989;-0.0017415067
-0.00018732;-0.0082222675;-0.0016330355
-0.0001873;-0.0085699979;-0.0016885686
-0.00018728;-0.0094276465;-0.0018621743
-0.00018726;-0.0082041025;-0.0016706631
-0.00018724;-0.0088035482;-0.0016380958
-0.00018722;-0.0077629519;-0.0016414693
-0.0001872;-0.0085816754;-0.0017704409
-0.00018718;-0.0088528533;-0.0018445283
-0.00018716;-0.0074956666;-0.0017561684
-0.00018714;-0.0089423809;-0.0017298291
-0.00018712;-0.0087827882;-0.0017904225
-0.0001871;-0.0087814907;-0.0018288285
-0.00018708;-0.0093147638;-0.0017025816
-0.00018706;-0.0074567416;-0.0017119236
-0.00018704;-0.0085323704;-0.0016563906
-0.00018702;-0.0092239387;-0.0016217473
-0.000187;-0.0082741676;-0.0016510708
-0.00018698;-0.0080795423;-0.0017688839
-0.00018696;-0.0071051186;-0.0017470859
-0.00018694;-0.009017636;-0.0017434529
-0.00018692;-0.0084013227;-0.0016194118
-0.0001869;-0.0074204115;-0.0017725169
-0.00018688;-0.0077162419;-0.0018017107
-0.00018686;-0.0087153181;-0.0016580773
-0.00018684;-0.007791497;-0.0017103666
-0.00018682;-0.0083364476;-0.0017447504
-0.0001868;-0.0090967836;-0.0016204498
-0.00018678;-0.008228755;-0.0017516272
-0.00018676;-0.0087944657;-0.0016762423
-0.00018674;-0.0090915935;-0.0017284019
-0.00018672;-0.0084584128;-0.0016731283
-0.0001867;-0.0088217132;-0.0017503297
-0.00018668;-0.007814852;-0.001618244
-0.00018666;-0.0081223599;-0.0016164275
-0.00018664;-0.0083585052;-0.0017572064
-0.00018662;-0.0087140206;-0.0015079564
-0.0001866;-0.0085518329;-0.0017171136
-0.00018658;-0.0084013227;-0.0016851951
-0.00018656;-0.0074437665;-0.0017229524
-0.00018654;-0.0084078102;-0.0016587261
-0.00018652;-0.0077175394;-0.0016910338
-0.0001865;-0.0086725005;-0.001782378
-0.00018648;-0.0074982616;-0.001606307
-0.00018646;-0.0077473819;-0.0017316456
-0.00018644;-0.0083273651;-0.0017629154
-0.00018642;-0.009069536;-0.001654055
-0.0001864;-0.0083286626;-0.0017433232
-0.00018638;-0.007786307;-0.0016626186
-0.00018636;-0.0089488684;-0.0017012841
-0.00018634;-0.0090630485;-0.0015982625
-0.00018632;-0.0074787991;-0.0017056956
-0.0001863;-0.0086673105;-0.0017133509
-0.00018628;-0.0093588789;-0.001627067
-0.00018626;-0.0084726853;-0.0017169839
-0.00018624;-0.0071855637;-0.0017764095
-0.00018622;-0.008655633;-0.0017435827
-0.0001862;-0.0082573;-0.0016787076
-0.00018618;-0.007419114;-0.001810923
-0.00018616;-0.0088372832;-0.0017428042
-0.00018614;-0.007801877;-0.0017559089
-0.00018612;-0.0094250515;-0.0017156864
-0.0001861;-0.0089410834;-0.0016549633
-0.00018608;-0.0095807516;-0.0015342957
-0.00018606;-0.009066941;-0.0017966505
-0.00018604;-0.0080458073;-0.0017350191
-0.00018602;-0.0082702751;-0.0017426744
-0.000186;-0.0082170775;-0.0016236935
-0.00018598;-0.0093536889;-0.0017016734
-0.00018596;-0.008616708;-0.0016574286
-0.00018594;-0.0077188369;-0.0017337216
-0.00018592;-0.009428944;-0.0017306076
-0.0001859;-0.0074852866;-0.0017481239
-0.00018588;-0.0084532228;-0.0018189675
-0.00018586;-0.0093433089;-0.0016792266
-0.00018584;-0.0086465505;-0.0016652136
-0.00018582;-0.007807067;-0.0015776322
-0.0001858;-0.0079536847;-0.0016645648
-0.00018578;-0.010320328;-0.0016970024
