ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-11-28 16:53:29 471m





Relative time;Average1;Average2
s;V;V
-0.0001879;-0.011868467;-0.0013125532
-0.00018788;-0.010377525;-0.0012958877
-0.00018786;-0.011269956;-0.0013225382
-0.00018784;-0.011924689;-0.0013302244
-0.00018782;-0.011049339;-0.0013457406
-0.0001878;-0.011768834;-0.0013355402
-0.00018778;-0.011981622;-0.0013554382
-0.00018776;-0.011834307;-0.0012413656
-0.00018774;-0.010196762;-0.0013860396
-0.00018772;-0.01067856;-0.0014202326
-0.0001877;-0.010820182;-0.0012701711
-0.00018768;-0.011981622;-0.0013207423
-0.00018766;-0.010901312;-0.0013319485
-0.00018764;-0.011756736;-0.0012973962
-0.00018762;-0.011427234;-0.0013519902
-0.0001876;-0.01073407;-0.0012838914
-0.00018758;-0.011677741;-0.0013081714
-0.00018756;-0.012150287;-0.0013283567
-0.00018754;-0.011921842;-0.0014062249
-0.00018752;-0.010923374;-0.0014049319
-0.0001875;-0.01059743;-0.0013917863
-0.00018748;-0.011393074;-0.0013671472
-0.00018746;-0.011385246;-0.0013295779
-0.00018744;-0.011875584;-0.0013289314
-0.00018742;-0.012612159;-0.0013098235
-0.0001874;-0.011415847;-0.0013528522
-0.00018738;-0.011134027;-0.0013055135
-0.00018736;-0.012064176;-0.0012644244
-0.00018734;-0.011264262;-0.0013312301
-0.00018732;-0.012059906;-0.0012082501
-0.0001873;-0.011464241;-0.0012989048
-0.00018728;-0.011096309;-0.001398826
-0.00018726;-0.011506229;-0.0012688062
-0.00018724;-0.011801571;-0.0013679373
-0.00018722;-0.011478474;-0.0013171506
-0.0001872;-0.01103297;-0.0013171506
-0.00018718;-0.011841424;-0.0013075967
-0.00018716;-0.011560316;-0.001295313
-0.00018714;-0.011831461;-0.0013688712
-0.00018712;-0.010961092;-0.0013439447
-0.0001871;-0.011410866;-0.0013960963
-0.00018708;-0.011573837;-0.0012964624
-0.00018706;-0.011380976;-0.001295313
-0.00018704;-0.010727665;-0.0013438729
-0.00018702;-0.011662796;-0.0013805802
-0.000187;-0.011389516;-0.001340784
-0.00018698;-0.011596611;-0.0013417179
-0.00018696;-0.010391759;-0.0013961682
-0.00018694;-0.010939742;-0.0012976117
-0.00018692;-0.011349662;-0.0012010667
-0.0001869;-0.012194411;-0.0013880509
-0.00018688;-0.010668597;-0.0013445913
-0.00018686;-0.011013044;-0.0012791504
-0.00018684;-0.01061451;-0.0013718882
-0.00018682;-0.011005215;-0.0013881946
-0.0001868;-0.010613087;-0.0013679373
-0.00018678;-0.010809507;-0.0013357557
-0.00018676;-0.011060014;-0.001430433
-0.00018674;-0.01102443;-0.0013777068
-0.00018672;-0.011064995;-0.0013397065
-0.0001867;-0.011500536;-0.0013245495
-0.00018668;-0.011298422;-0.0013782096
-0.00018666;-0.011188114;-0.0013640583
-0.00018664;-0.010946859;-0.0013188028
-0.00018662;-0.011151819;-0.0013301526
-0.0001866;-0.011027277;-0.0012571691
-0.00018658;-0.011096309;-0.0013078122
-0.00018656;-0.012164521;-0.0013103982
-0.00018654;-0.011215869;-0.0013336725
-0.00018652;-0.011910456;-0.0014359643
-0.0001865;-0.011116947;-0.0013709544
-0.00018648;-0.011747484;-0.0013718882
-0.00018646;-0.010842955;-0.0012922242
-0.00018644;-0.011571702;-0.0013158576
-0.00018642;-0.011600881;-0.0012798687
-0.0001864;-0.011770969;-0.0013621906
-0.00018638;-0.011662796;-0.0012765643
-0.00018636;-0.011215157;-0.0012417966
-0.00018634;-0.010901312;-0.001233823
-0.00018632;-0.011553911;-0.0012703148
-0.0001863;-0.01034977;-0.0012924397
-0.00018628;-0.012121821;-0.0013631245
-0.00018626;-0.011467799;-0.0012689499
-0.00018624;-0.010902024;-0.0013300089
-0.00018622;-0.011345392;-0.0013728221
-0.0001862;-0.011786626;-0.0013430827
-0.00018618;-0.010966074;-0.0014071588
-0.00018616;-0.012316106;-0.001257672
-0.00018614;-0.011357491;-0.001322179
-0.00018612;-0.011301981;-0.0013324513
-0.0001861;-0.011303404;-0.0012856154
-0.00018608;-0.011193096;-0.0013997599
-0.00018606;-0.012086949;-0.0013310864
-0.00018604;-0.011119794;-0.0013258425
-0.00018602;-0.011943904;-0.0013027838
-0.000186;-0.011151107;-0.0012747685
-0.00018598;-0.011669201;-0.0013731812
-0.00018596;-0.011035817;-0.0013272074
-0.00018594;-0.011746061;-0.0013344626
-0.00018592;-0.012096201;-0.0013769166
-0.0001859;-0.012158827;-0.0013136307
-0.00018588;-0.011700514;-0.0014141267
-0.00018586;-0.010828722;-0.0013549354
-0.00018584;-0.011541812;-0.0012450292
-0.00018582;-0.010600277;-0.0013782815
-0.0001858;-0.011275649;-0.0012977554
-0.00018578;-0.012036421;-0.0013720319
-0.00018576;-0.010963939;-0.0012899973
-0.00018574;-0.010921239;-0.0013682965
-0.00018572;-0.011521174;-0.001307453
-0.0001857;-0.010923374;-0.0012690218
-0.00018568;-0.011674182;-0.0013052262
-0.00018566;-0.011476339;-0.0013564439
-0.00018564;-0.010919815;-0.0013279257
-0.00018562;-0.011661372;-0.0013276384
-0.0001856;-0.011161782;-0.0013153548
-0.00018558;-0.010982442;-0.0013231847
-0.00018556;-0.011415847;-0.0013605384
-0.00018554;-0.011126199;-0.0013375515
-0.00018552;-0.011218716;-0.0013050825
-0.0001855;-0.01075969;-0.0012986892
-0.00018548;-0.012172349;-0.0012986892
-0.00018546;-0.01087925;-0.0013004851
-0.00018544;-0.011093462;-0.0013002696
-0.00018542;-0.0103028;-0.001377204
-0.0001854;-0.012075562;-0.0013090334
-0.00018538;-0.010824452;-0.0013093925
-0.00018536;-0.011741079;-0.0013121941
-0.00018534;-0.011017314;-0.0012706021
-0.00018532;-0.011733251;-0.0013965992
-0.0001853;-0.011489861;-0.0013885537
-0.00018528;-0.011468511;-0.0012706021
-0.00018526;-0.010993117;-0.0013297216
-0.00018524;-0.010262947;-0.0014509058
-0.00018522;-0.011253587;-0.0013506253
-0.0001852;-0.011495554;-0.0013135589
-0.00018518;-0.011721864;-0.0013577369
-0.00018516;-0.011171746;-0.0013937258
-0.00018514;-0.011462106;-0.0013596764
-0.00018512;-0.011314791;-0.0012467532
-0.0001851;-0.010862882;-0.0012947384
-0.00018508;-0.010620204;-0.0013202395
-0.00018506;-0.011714036;-0.0013362585
-0.00018504;-0.01096892;-0.0013397065
-0.00018502;-0.011284901;-0.001350769
-0.000185;-0.011710477;-0.0012927988
-0.00018498;-0.011400191;-0.0012781447
-0.00018496;-0.011022295;-0.0013631963
-0.00018494;-0.011681299;-0.0012833167
-0.00018492;-0.012351689;-0.0013957372
-0.0001849;-0.011094174;-0.0012440953
-0.00018488;-0.010749015;-0.0012215394
-0.00018486;-0.010774635;-0.0013121222
-0.00018484;-0.011413712;-0.0013657105
-0.00018482;-0.011343257;-0.0013116912
-0.0001848;-0.011736097;-0.0013876917
-0.00018478;-0.010764672;-0.0012042274
-0.00018476;-0.011010197;-0.0013079559
