ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-11-28 17:13:41 610m





Relative time;Average1;Average2
s;V;V
-0.0001879;-0.0079545187;-0.0017258119
-0.00018788;-0.0083982563;-0.0017127083
-0.00018786;-0.0086588405;-0.0017475521
-0.00018784;-0.0081927671;-0.0017435317
-0.00018782;-0.0094167683;-0.0015956687
-0.0001878;-0.0084235702;-0.001541765
-0.00018778;-0.0088330597;-0.0016897769
-0.00018776;-0.008900067;-0.0017253652
-0.00018774;-0.0071787223;-0.001724174
-0.00018772;-0.0077594528;-0.0015137708
-0.0001877;-0.0087094683;-0.0015736308
-0.00018768;-0.0099260242;-0.0017216426
-0.00018766;-0.0097264912;-0.0016929039
-0.00018764;-0.0091963885;-0.0017544017
-0.00018762;-0.0091234249;-0.0017350441
-0.0001876;-0.0080274822;-0.001686352
-0.00018758;-0.0093765638;-0.0016522527
-0.00018756;-0.0093467828;-0.0016841185
-0.00018754;-0.009579075;-0.0015917972
-0.00018752;-0.010424857;-0.001771228
-0.0001875;-0.0094763304;-0.0017904368
-0.00018748;-0.0094227245;-0.0016473389
-0.00018746;-0.0083446504;-0.0016544863
-0.00018744;-0.0086990449;-0.0017548485
-0.00018742;-0.0088881546;-0.0016638673
-0.0001874;-0.0083714534;-0.0017091345
-0.00018738;-0.0093125346;-0.0016339374
-0.00018736;-0.0086886216;-0.0015877768
-0.00018734;-0.0084682418;-0.0016081768
-0.00018732;-0.0086930887;-0.001485181
-0.0001873;-0.0095835421;-0.00166759
-0.00018728;-0.0085799207;-0.0017989244
-0.00018726;-0.0090445051;-0.0016382556
-0.00018724;-0.0083401833;-0.0017673565
-0.00018722;-0.0090474832;-0.001813666
-0.0001872;-0.0087109574;-0.00163766
-0.00018718;-0.008106402;-0.0016650586
-0.00018716;-0.0091621403;-0.0016599958
-0.00018714;-0.0091130015;-0.0017171754
-0.00018712;-0.0095492939;-0.0017232805
-0.0001871;-0.0091755417;-0.0016184512
-0.00018708;-0.0094048558;-0.001731917
-0.00018706;-0.0087347822;-0.0018048806
-0.00018704;-0.0090549285;-0.001588968
-0.00018702;-0.0093631624;-0.0016028162
-0.000187;-0.0089968554;-0.0016763754
-0.00018698;-0.010092798;-0.0015593359
-0.00018696;-0.0092217024;-0.0015148132
-0.00018694;-0.0090266365;-0.001678609
-0.00018692;-0.00906833;-0.0015180891
-0.0001869;-0.0082791321;-0.0014893504
-0.00018688;-0.0084310155;-0.001694244
-0.00018686;-0.010135981;-0.0016276834
-0.00018684;-0.0081004458;-0.0016120483
-0.00018682;-0.0097056444;-0.0015104949
-0.0001868;-0.0085784317;-0.0016446586
-0.00018678;-0.0091591622;-0.0015719928
-0.00018676;-0.0084161249;-0.0016823316
-0.00018674;-0.0081361831;-0.0018053273
-0.00018672;-0.0093274251;-0.0016177067
-0.0001867;-0.0089864321;-0.001676971
-0.00018668;-0.0091919213;-0.0015571023
-0.00018666;-0.0093482718;-0.001562314
-0.00018664;-0.0089149575;-0.0016168133
-0.00018662;-0.0088881546;-0.0017077944
-0.0001866;-0.0082031904;-0.0016138352
-0.00018658;-0.0090489723;-0.0015444453
-0.00018656;-0.0076626644;-0.0016118994
-0.00018654;-0.0091472497;-0.0017636339
-0.00018652;-0.0085531178;-0.0016704192
-0.0001865;-0.0085724755;-0.00165806
-0.00018648;-0.0083669862;-0.0016535929
-0.00018646;-0.0095061114;-0.0016467432
-0.00018644;-0.0095314253;-0.0016446586
-0.00018642;-0.0089983445;-0.0017281944
-0.0001864;-0.0092425491;-0.0016543374
-0.00018638;-0.0088047677;-0.0015705037
-0.00018636;-0.009552272;-0.0016452542
-0.00018634;-0.0083431614;-0.0016194936
-0.00018632;-0.0084980228;-0.0017365331
-0.0001863;-0.0092455272;-0.0017356397
-0.00018628;-0.0093691186;-0.0014920307
-0.00018626;-0.0086409719;-0.0017591667
-0.00018624;-0.0088643298;-0.0015387869
-0.00018622;-0.0092142571;-0.0015499548
-0.0001862;-0.0082404167;-0.0014959022
-0.00018618;-0.0090876876;-0.0017372776
-0.00018616;-0.0091844761;-0.0015856921
-0.00018614;-0.0084578184;-0.0015929884
-0.00018612;-0.007595657;-0.0016509126
-0.0001861;-0.0087437165;-0.0017220893
-0.00018608;-0.0093214689;-0.0016608892
-0.00018606;-0.010003455;-0.001722536
-0.00018604;-0.0081168254;-0.0017180689
-0.00018602;-0.0084339936;-0.0016818849
-0.000186;-0.0087094683;-0.0017567842
-0.00018598;-0.0090445051;-0.0015955198
-0.00018596;-0.0084920666;-0.0016811404
-0.00018594;-0.0082642416;-0.0017855229
-0.00018592;-0.0088777312;-0.0015349154
-0.0001859;-0.0074125035;-0.001722536
-0.00018588;-0.0089521839;-0.0016567199
-0.00018586;-0.0079857888;-0.0016620805
-0.00018584;-0.0072129705;-0.001482054
-0.00018582;-0.0067305175;-0.0016739929
-0.0001858;-0.0089447386;-0.0016190469
-0.00018578;-0.0089938773;-0.0015297037
-0.00018576;-0.0072323282;-0.0016443608
-0.00018574;-0.0086305485;-0.0017381711
-0.00018572;-0.0084861104;-0.0016704192
-0.0001857;-0.0081078911;-0.0017457652
-0.00018568;-0.0096773524;-0.0016395958
-0.00018566;-0.0076224599;-0.0016963287
-0.00018564;-0.0088196582;-0.0015158555
-0.00018562;-0.0094212354;-0.0015982001
-0.0001856;-0.0083669862;-0.0017447229
-0.00018558;-0.0089938773;-0.0015980512
-0.00018556;-0.0098143453;-0.0016153242
-0.00018554;-0.008900067;-0.0017496368
-0.00018552;-0.0079321829;-0.0017426382
-0.0001855;-0.0077534966;-0.0016521038
-0.00018548;-0.0077624309;-0.0017624426
-0.00018546;-0.0088464611;-0.0017418937
-0.00018544;-0.0093601843;-0.0017341506
-0.00018542;-0.0088092348;-0.0017676543
-0.0001854;-0.009381031;-0.0014637387
-0.00018538;-0.0092797754;-0.0016474878
-0.00018536;-0.008700534;-0.0016135374
-0.00018534;-0.0086767091;-0.0016789068
