ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-11-28 17:32:30 218m





Relative time;Average1;Average2
s;V;V
-0.0001879;-0.0065155888;-0.0018455253
-0.00018788;-0.0076445372;-0.0019416731
-0.00018786;-0.0059048139;-0.0017895704
-0.00018784;-0.0070120896;-0.0019306397
-0.00018782;-0.0077765434;-0.0018370533
-0.0001878;-0.0078750554;-0.0017214001
-0.00018778;-0.008206056;-0.0018506479
-0.00018776;-0.0077706326;-0.0020847126
-0.00018774;-0.0076602991;-0.0017515448
-0.00018772;-0.0059520997;-0.0018809896
-0.0001877;-0.0077785136;-0.001638847
-0.00018768;-0.0073450605;-0.0019026623
-0.00018766;-0.0078573233;-0.0019050266
-0.00018764;-0.006289011;-0.001884142
-0.00018762;-0.0061471536;-0.0018784283
-0.0001876;-0.0082296989;-0.0018937962
-0.00018758;-0.00668897;-0.0020261965
-0.00018756;-0.007577549;-0.0018636515
-0.00018754;-0.0085863126;-0.0018490717
-0.00018752;-0.0083124491;-0.0018311425
-0.0001875;-0.0059855938;-0.0017773549
-0.00018748;-0.0062299038;-0.0018476926
-0.00018746;-0.0073253581;-0.0019718178
-0.00018744;-0.0077883648;-0.0018153806
-0.00018742;-0.0076287753;-0.0018195181
-0.0001874;-0.0069175181;-0.0018372503
-0.00018738;-0.0064308684;-0.0019698475
-0.00018736;-0.006696851;-0.0018981307
-0.00018734;-0.0075854299;-0.0018078937
-0.00018732;-0.0072997449;-0.0017986335
-0.0001873;-0.0068820537;-0.0017822805
-0.00018728;-0.0061057785;-0.0018317336
-0.00018726;-0.0054634798;-0.0019022683
-0.00018724;-0.0079637163;-0.0018890676
-0.00018722;-0.0073765843;-0.0018293693
-0.0001872;-0.0069628336;-0.0019562529
-0.00018718;-0.007520412;-0.0017852359
-0.00018716;-0.0071500066;-0.001924926
-0.00018714;-0.0053984618;-0.0017320394
-0.00018712;-0.0065392317;-0.0017560763
-0.0001871;-0.0071401554;-0.0018796105
-0.00018708;-0.006060463;-0.0018932051
-0.00018706;-0.0092621055;-0.0017338126
-0.00018704;-0.0077194064;-0.0019542826
-0.00018702;-0.0071184827;-0.0018203062
-0.000187;-0.0057787184;-0.0018149866
-0.00018698;-0.0079912997;-0.0019032534
-0.00018696;-0.006704732;-0.0018407967
-0.00018694;-0.006925399;-0.0018715325
-0.00018692;-0.0073667331;-0.0018644396
-0.0001869;-0.0074356916;-0.0018750789
-0.00018688;-0.0078829364;-0.0017397233
-0.00018686;-0.0072445782;-0.0019184242
-0.00018684;-0.0068209762;-0.0020723001
-0.00018682;-0.008278955;-0.0018364622
-0.0001868;-0.0066101604;-0.0017428757
-0.00018678;-0.007855353;-0.001989944
-0.00018676;-0.0058634388;-0.0019720148
-0.00018674;-0.0057294624;-0.001786418
-0.00018672;-0.0072623103;-0.0018681831
-0.0001867;-0.0072465484;-0.0018053324
-0.00018668;-0.0063875231;-0.0019314278
-0.00018666;-0.0065037673;-0.0019205915
-0.00018664;-0.0068308274;-0.0019773345
-0.00018662;-0.0059934748;-0.0019101492
-0.0001866;-0.0075676978;-0.0017812954
-0.00018658;-0.0066653271;-0.0019229558
-0.00018656;-0.006590458;-0.001842767
-0.00018654;-0.0069608634;-0.0019834422
-0.00018652;-0.0066653271;-0.0019010861
-0.0001865;-0.0076504479;-0.0018697593
-0.00018648;-0.007463275;-0.0017546972
-0.00018646;-0.0073135366;-0.0019893529
-0.00018644;-0.0073115664;-0.0019503421
