ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-11-28 17:36:35 780m





Relative time;Average1;Average2
s;V;V
-0.0001879;-0.0063930572;-0.0019052422
-0.00018788;-0.0067690356;-0.0017594081
-0.00018786;-0.0045672832;-0.0018891491
-0.00018784;-0.0065938638;-0.0019787289
-0.00018782;-0.0065810464;-0.0017896003
-0.0001878;-0.0057991822;-0.001809681
-0.00018778;-0.0061922505;-0.001765532
-0.00018776;-0.0060612277;-0.00185383
-0.00018774;-0.0062734277;-0.0017522873
-0.00018772;-0.0057664265;-0.0017645351
-0.0001877;-0.0072803092;-0.0017753587
-0.00018768;-0.0057051876;-0.0018216439
-0.00018766;-0.0056225862;-0.0018447153
-0.00018764;-0.0071635281;-0.0018496999
-0.00018762;-0.0055955272;-0.001891143
-0.0001876;-0.0068188812;-0.001795297
-0.00018758;-0.0057493365;-0.0019570816
-0.00018756;-0.0060740452;-0.0018539724
-0.00018754;-0.0064243887;-0.0018636567
-0.00018752;-0.0058105755;-0.0018639415
-0.0001875;-0.0062107646;-0.0019468277
-0.00018748;-0.0059458707;-0.0019096571
-0.00018746;-0.0061537982;-0.001818938
-0.00018744;-0.0055100776;-0.0017467331
-0.00018742;-0.0057749714;-0.001970896
-0.0001874;-0.0053035743;-0.0018195077
-0.00018738;-0.00710941;-0.0018508392
-0.00018736;-0.0063659981;-0.0019929705
-0.00018734;-0.005762154;-0.0018143807
-0.00018732;-0.0076263803;-0.0018081144
-0.0001873;-0.0067533698;-0.0018071175
-0.00018728;-0.0061153458;-0.0019370009
-0.00018726;-0.0063246974;-0.0019107964
-0.00018724;-0.0059401741;-0.0018650808
-0.00018722;-0.0058077271;-0.0018287647
-0.0001872;-0.0049261717;-0.0018082568
-0.00018718;-0.0057023392;-0.0019442642
-0.00018716;-0.0063332424;-0.001796009
-0.00018714;-0.0048250563;-0.0017968635
-0.00018712;-0.0068786959;-0.0018767589
-0.0001871;-0.0064528719;-0.0018136686
-0.00018708;-0.0069271174;-0.0019093722
-0.00018706;-0.0059017217;-0.0018499847
-0.00018704;-0.0062264304;-0.0019435521
-0.00018702;-0.0059173875;-0.0017642503
-0.000187;-0.0058675419;-0.0019085177
