ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-12-09 17:52:00 488m





Relative time;Average1;Average2
s;V;V
-0.00015112;-0.012203919;-0.0010119264
-0.0001511;-0.010619657;-0.0010942552
-0.00015108;-0.010559232;-0.0011186139
-0.00015106;-0.010143811;-0.0012243573
-0.00015104;-0.010349633;-0.0011724297
-0.00015102;-0.011288106;-0.0012020757
-0.000151;-0.011667649;-0.0010185354
-0.00015098;-0.010555455;-0.0011195581
-0.00015096;-0.011114385;-0.00099455427
-0.00015094;-0.0099115536;-0.0012762849
-0.00015092;-0.009983308;-0.0012538144
-0.0001509;-0.012018868;-0.0011269223
-0.00015088;-0.010884015;-0.0012270009
-0.00015086;-0.010143811;-0.0011769616
-0.00015084;-0.011127602;-0.0012194478
-0.00015082;-0.011771504;-0.0011248452
-0.0001508;-0.010530908;-0.0011518476
-0.00015078;-0.010039956;-0.0010580003
-0.00015076;-0.010304315;-0.0011467492
-0.00015074;-0.010525243;-0.0011848924
-0.00015072;-0.01068197;-0.0011289994
-0.0001507;-0.010838696;-0.0010746171
-0.00015068;-0.011284329;-0.0010821702
-0.00015066;-0.0096925137;-0.0010032403
-0.00015064;-0.012079293;-0.0010714071
-0.00015062;-0.010848138;-0.0011729962
-0.0001506;-0.010166471;-0.0010821702
-0.00015058;-0.010731065;-0.0012134053
-0.00015056;-0.011271111;-0.0012086846
-0.00015054;-0.010043733;-0.0012124612
-0.00015052;-0.011150262;-0.0011176698
-0.0001505;-0.010685746;-0.0011599671
-0.00015048;-0.010759389;-0.0010885904
-0.00015046;-0.011393849;-0.0012320992
-0.00015044;-0.011059625;-0.0011847035
-0.00015042;-0.010236337;-0.0010870797
-0.0001504;-0.010455377;-0.0012245461
-0.00015038;-0.0095414517;-0.001098787
-0.00015036;-0.010729176;-0.001106529
-0.00015034;-0.01056112;-0.0011982991
-0.00015032;-0.011737515;-0.0012354981
-0.0001503;-0.01061588;-0.0011745069
-0.00015028;-0.01013437;-0.0011779057
-0.00015026;-0.010444047;-0.0012574021
-0.00015024;-0.012101952;-0.0012370087
-0.00015022;-0.011546799;-0.001218126
-0.0001502;-0.011263558;-0.0012472054
-0.00015018;-0.01131643;-0.0010653646
-0.00015016;-0.01097654;-0.0011210687
-0.00015014;-0.011040742;-0.001168842
-0.00015012;-0.0096962903;-0.0011505258
-0.0001501;-0.0092298864;-0.0012339875
-0.00015008;-0.010413835;-0.0011845147
-0.00015006;-0.010691411;-0.0010657422
-0.00015004;-0.01044027;-0.0012577798
-0.00015002;-0.010867021;-0.0010785825
-0.00015;-0.010687634;-0.0011390073
-0.00014998;-0.010657422;-0.0012942235
-0.00014996;-0.011726185;-0.0011297547
-0.00014994;-0.010744283;-0.0010704629
-0.00014992;-0.0090165114;-0.0010655534
-0.0001499;-0.011497704;-0.0012677876
-0.00014988;-0.01121824;-0.0012834603
-0.00014986;-0.0094206022;-0.001186403
-0.00014984;-0.011845147;-0.0011531693
-0.00014982;-0.010596997;-0.0011008641
-0.0001498;-0.01003618;-0.0011407067
-0.00014978;-0.0099436542;-0.0011550576
-0.00014976;-0.010642316;-0.0012109506
-0.00014974;-0.010749948;-0.0011756398
-0.00014972;-0.011437279;-0.0010918004
-0.0001497;-0.011010529;-0.0013338772
-0.00014968;-0.011369302;-0.0011854588
-0.00014966;-0.011594006;-0.0011548688
-0.00014964;-0.0107254;-0.0013010213
-0.00014962;-0.0093412946;-0.001197355
-0.0001496;-0.011465604;-0.0012439954
-0.00014958;-0.01057245;-0.0010547902
-0.00014956;-0.010702741;-0.0010642316
-0.00014954;-0.011939561;-0.001138252
-0.00014952;-0.010102269;-0.0011376855
-0.0001495;-0.010697076;-0.0011509034
-0.00014948;-0.011420285;-0.0012173707
-0.00014946;-0.011467492;-0.001148071
-0.00014944;-0.010394952;-0.0012679764
-0.00014942;-0.0099342129;-0.0012589127
-0.0001494;-0.010430829;-0.0011631772
-0.00014938;-0.010770719;-0.0010459153
-0.00014936;-0.0097869274;-0.0010893457
-0.00014934;-0.011965996;-0.0013599354
-0.00014932;-0.011014306;-0.0010600774
-0.0001493;-0.010362851;-0.0011155927
-0.00014928;-0.010606439;-0.0012268121
-0.00014926;-0.010508248;-0.0010927446
-0.00014924;-0.010005967;-0.0012003762
-0.00014922;-0.011046407;-0.0012630669
-0.0001492;-0.010260884;-0.00095905471
-0.00014918;-0.010098493;-0.0011915013
-0.00014916;-0.010406282;-0.0012026421
-0.00014914;-0.010651757;-0.0010464818
-0.00014912;-0.010806596;-0.001206041
-0.0001491;-0.010553567;-0.0011227681
-0.00014908;-0.011465604;-0.0011225793
-0.00014906;-0.011257893;-0.0011019971
-0.00014904;-0.010121152;-0.0011199357
-0.00014902;-0.01094444;-0.0011867806
-0.000149;-0.010194795;-0.0010980317
-0.00014898;-0.01108606;-0.0011886689
-0.00014896;-0.011129491;-0.0011848924
-0.00014894;-0.010593221;-0.001278362
-0.00014892;-0.0097623799;-0.0011246564
-0.0001489;-0.0097340558;-0.001084625
-0.00014888;-0.010991647;-0.0010772607
-0.00014886;-0.012861039;-0.0011471269
-0.00014884;-0.011067178;-0.001292524
-0.00014882;-0.011365525;-0.0012294556
-0.0001488;-0.010923669;-0.0012417294
-0.00014878;-0.01049503;-0.0010085275
-0.00014876;-0.011284329;-0.0011867806
-0.00014874;-0.010851914;-0.001238897
-0.00014872;-0.0094772504;-0.0010793378
-0.0001487;-0.0099965259;-0.0011697862
-0.00014868;-0.011363637;-0.0012092511
-0.00014866;-0.01115215;-0.0010644204
-0.00014864;-0.010238225;-0.0010468595
-0.00014862;-0.010055062;-0.0012092511
-0.0001486;-0.010355298;-0.0012079293
-0.00014858;-0.010806596;-0.0011735627
-0.00014856;-0.010111711;-0.0012275674
-0.00014854;-0.010689523;-0.0010217454
-0.00014852;-0.009564111;-0.0011969773
-0.0001485;-0.010787713;-0.0010867021
-0.00014848;-0.0098152516;-0.0011399514
-0.00014846;-0.008504789;-0.0013414303
-0.00014844;-0.0094508146;-0.00099606489
-0.00014842;-0.011971661;-0.0012709977
-0.0001484;-0.011529805;-0.0012120835
-0.00014838;-0.011340977;-0.0012460725
-0.00014836;-0.01067064;-0.0011930119
-0.00014834;-0.0095150159;-0.0011050183
-0.00014832;-0.011350419;-0.0011945226
-0.0001483;-0.011203133;-0.001149204
-0.00014828;-0.010351522;-0.0013108403
-0.00014826;-0.011684643;-0.0011103055
-0.00014824;-0.011556241;-0.00099851965
-0.00014822;-0.010381734;-0.00099304366
-0.0001482;-0.010704629;-0.0010372293
-0.00014818;-0.010094716;-0.0011063401
-0.00014816;-0.010598886;-0.0012317216
-0.00014814;-0.010563008;-0.001208307
-0.00014812;-0.010953881;-0.0010749948
-0.0001481;-0.011390073;-0.0012572133
-0.00014808;-0.01098787;-0.0011473157
-0.00014806;-0.011010529;-0.0012220914
-0.00014804;-0.010946328;-0.00118527
-0.00014802;-0.011282441;-0.00090240647
-0.000148;-0.011104943;-0.0011658208
-0.00014798;-0.0096226476;-0.0011048295
-0.00014796;-0.0097132847;-0.0012949788
-0.00014794;-0.010923669;-0.0012049081
-0.00014792;-0.010583779;-0.0011990544
-0.0001479;-0.010910451;-0.0013276459
-0.00014788;-0.011331536;-0.001164499
-0.00014786;-0.0092468809;-0.0010687635
-0.00014784;-0.01050636;-0.0012296445
-0.00014782;-0.010946328;-0.0012789284
-0.0001478;-0.0093601774;-0.0010521467
-0.00014778;-0.01125034;-0.0013012101
-0.00014776;-0.009769933;-0.0011473157
-0.00014774;-0.0097642681;-0.0011639325
-0.00014772;-0.010583779;-0.0011677091
-0.0001477;-0.011431615;-0.0010325086
-0.00014768;-0.01071407;-0.00099644255
-0.00014766;-0.010019185;-0.0012698647
-0.00014764;-0.010066392;-0.001175451
-0.00014762;-0.011471268;-0.0011707303
-0.0001476;-0.010478036;-0.001143728
-0.00014758;-0.010812261;-0.0011161592
-0.00014756;-0.011669537;-0.00097491622
-0.00014754;-0.010092828;-0.00098888945
-0.00014752;-0.010910451;-0.0011356084
-0.0001475;-0.01076883;-0.0012198254
-0.00014748;-0.010332639;-0.0011035077
-0.00014746;-0.010026738;-0.0012730748
-0.00014744;-0.011123826;-0.0012526814
-0.00014742;-0.010175912;-0.0010164583
-0.0001474;-0.011471268;-0.0012828938
