ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2025-12-01 16:36:39 752m





Relative time;Average1;Average2
s;V;V
-8.776E-5;-0.0025293621;-0.00010925732
-8.774E-5;-0.0027325737;-9.8733866E-5
-8.772E-5;-0.0026836371;-9.7645233E-5
-8.77E-5;-0.0027898048;-9.6587703E-5
-8.768E-5;-0.0026682925;-9.6027834E-5
-8.766E-5;-0.0026156234;-0.00010631283
-8.764E-5;-0.0028059787;-0.00011010749
-8.762E-5;-0.0026865401;-9.4814786E-5
-8.76E-5;-0.0026355298;-9.7137204E-5
-8.758E-5;-0.0027288413;-9.2388688E-5
-8.756E-5;-0.0025625395;-9.7645233E-5
-8.754E-5;-0.0026512891;-9.8588715E-5
-8.752E-5;-0.0024526394;-0.00010142953
-8.75E-5;-0.0023792344;-9.3207755E-5
-8.748E-5;-0.0027392092;-0.00010209308
-8.746E-5;-0.0027358915;-0.00010492352
-8.744E-5;-0.0026280649;-9.8567979E-5
-8.742E-5;-0.0023638899;-0.00010290178
-8.74E-5;-0.0026102321;-9.4234181E-5
-8.738E-5;-0.0029469827;-9.610041E-5
-8.736E-5;-0.0025865932;-0.00010672755
-8.734E-5;-0.002917123;-9.8754602E-5
-8.732E-5;-0.0023767461;-0.00010875966
-8.73E-5;-0.0025575629;-0.00010652019
-8.728E-5;-0.0024509805;-0.00011566471
-8.726E-5;-0.0023999703;-9.7261619E-5
-8.724E-5;-0.0027545538;-0.00011266837
-8.722E-5;-0.0025140176;-9.343585E-5
-8.72E-5;-0.0024244386;-0.00010045494
-8.718E-5;-0.002550098;-0.00010431182
-8.716E-5;-0.0027566273;-0.00010324392
-8.714E-5;-0.0026035966;-8.8988005E-5
-8.712E-5;-0.0022025647;-9.3238859E-5
-8.71E-5;-0.0025127734;-9.9252263E-5
-8.708E-5;-0.0024078499;-8.8003051E-5
-8.706E-5;-0.0026098173;-0.00010024758
-8.704E-5;-0.0028399856;-0.00010812722
-8.702E-5;-0.002661657;-9.2471632E-5
-8.7E-5;-0.0026770016;-0.00010294325
-8.698E-5;-0.0028209086;-9.5343551E-5
-8.696E-5;-0.0024542983;-0.00010182351
-8.694E-5;-0.0027255235;-0.0001055456
-8.692E-5;-0.0025364123;-9.7085364E-5
-8.69E-5;-0.0026944197;-9.5302079E-5
-8.688E-5;-0.0029644008;-9.5374654E-5
-8.686E-5;-0.0025165059;-0.00010573222
-8.684E-5;-0.0027338179;-0.00010636467
-8.682E-5;-0.0026347004;-9.8091054E-5
-8.68E-5;-0.0030125081;-9.7665968E-5
-8.678E-5;-0.0023265653;-0.00010846936
-8.676E-5;-0.002729256;-0.00010597069
-8.674E-5;-0.0026757574;-9.6442552E-5
-8.672E-5;-0.0026517038;-9.8308781E-5
-8.67E-5;-0.0028706747;-0.00010600179
-8.668E-5;-0.0026127204;-9.634924E-5
-8.666E-5;-0.0023734284;-0.00010049642
-8.664E-5;-0.002582446;-9.9190055E-5
-8.662E-5;-0.0028229822;-9.4379332E-5
-8.66E-5;-0.0027110084;-9.7914799E-5
-8.658E-5;-0.0025189942;-9.9521829E-5
-8.656E-5;-0.0027968549;-0.00010090076
-8.654E-5;-0.0026056702;-0.00010195829
-8.652E-5;-0.0025932286;-9.1227479E-5
-8.65E-5;-0.0024841579;-0.00010850046
-8.648E-5;-0.0026898578;-0.00010212418
-8.646E-5;-0.0025517569;-0.00010411483
-8.644E-5;-0.0028698452;-0.0001052864
-8.642E-5;-0.0025629543;-9.9169319E-5
-8.64E-5;-0.0027719719;-9.6826166E-5
-8.638E-5;-0.0028416444;-0.00011621421
-8.636E-5;-0.0027450153;-0.00010642688
-8.634E-5;-0.0024559571;-0.00011033559
-8.632E-5;-0.0026699514;-9.1611093E-5
-8.63E-5;-0.0026409212;-0.00010726668
-8.628E-5;-0.0029556918;-0.00010246632
-8.626E-5;-0.0025807871;-0.00010312987
-8.624E-5;-0.0027607745;-0.00011108208
-8.622E-5;-0.0027126673;-0.00010310914
-8.62E-5;-0.0026475566;-0.00010137769
-8.618E-5;-0.0028553301;-0.00010546266
-8.616E-5;-0.0026629012;-0.00010291214
-8.614E-5;-0.0027723866;-0.00010160578
-8.612E-5;-0.0026347004;-9.8692394E-5
-8.61E-5;-0.0027881459;-9.3974983E-5
-8.608E-5;-0.0025351682;-0.00010197903
-8.606E-5;-0.0021034473;-0.00010869745
-8.604E-5;-0.002329883;-0.00010374158
-8.602E-5;-0.0028445475;-9.9677348E-5
-8.6E-5;-0.0024368801;-9.6038202E-5
-8.598E-5;-0.0025082116;-9.4286021E-5
-8.596E-5;-0.0025086263;-9.8526507E-5
-8.594E-5;-0.0026815635;-0.00010320245
-8.592E-5;-0.0027255235;-0.00011498042
-8.59E-5;-0.0027134967;-8.9226468E-5
-8.588E-5;-0.0025865932;-9.7873327E-5
-8.586E-5;-0.0026823929;-0.00010435329
-8.584E-5;-0.0026915167;-9.4876993E-5
-8.582E-5;-0.0025733222;-0.00010382452
-8.58E-5;-0.0027105937;-0.00010494426
-8.578E-5;-0.0026873695;-9.805995E-5
-8.576E-5;-0.0021370394;-9.7292723E-5
-8.574E-5;-0.0027898048;-0.0001025078
-8.572E-5;-0.0027064465;-9.0937177E-5
-8.57E-5;-0.0025123587;-0.00010842789
-8.568E-5;-0.0024542983;-0.00010044458
-8.566E-5;-0.0023663782;-9.2751566E-5
-8.564E-5;-0.0026877842;-0.00010506868
-8.562E-5;-0.0027906342;-0.00010511015
-8.56E-5;-0.0024936964;-0.00011103024
-8.558E-5;-0.0029038521;-0.00010041347
-8.556E-5;-0.0023493747;-0.00010939211
-8.554E-5;-0.002588252;-0.00010086966
-8.552E-5;-0.0025165059;-9.6919477E-5
-8.55E-5;-0.0026077438;-0.00010046531
-8.548E-5;-0.002674928;-9.5467966E-5
